nu_over_xi,F_Bell_final,max_Bell_error,max_state_infidelity,norm_error
4,0.992235607819609,0.00608748214885735,0.00699371083017808,1.15138454326313e-10
6,0.994581550278603,0.00214788236014507,0.00292509467319302,1.30019084387811e-09
8,0.995179412966484,0.0011698919984825,0.00169098975090387,7.67272689827792e-10
12,0.995667918480522,0.000497258467788808,0.000750939637036874,1.67793468008881e-09
16,0.995690200074764,0.000274682508634383,0.000429788674775056,8.23889401146971e-10
