Nc,F_Bell,F_BIC,F_Bell_hold,minimum_F_Bell,BIC_eigen_residual,norm_error
804,0.995880742050345,0.999921763570918,0.995887543792077,0.5,5.68910197926082e-17,5.52891066263328e-14
2004,0.995880742050345,0.999921763570923,0.995887543792075,0.5,5.93674845767896e-17,5.50670620214078e-14
4004,0.995880742050347,0.99992176357092,0.995887543792084,0.5,5.8808335582467e-17,5.50670620214078e-14
