xi_t,P_gg_with_CD,P_eg_with_CD,P_ge_with_CD,P_photon_with_CD,concurrence_target,concurrence_without_CD,concurrence_with_CD,bell_fidelity_without_CD,bell_fidelity_with_CD,conditional_bell_fidelity_with_CD,u1,u2,Omega_pi_over_xi,Omega_CD_over_xi
0.27,0.999398412691257,0.000601587308641473,0,0,NaN,0,0,0.000300793654320737,0.000300793654320737,0.5,0,0.9,0.532010077878623,0
0.275,0.999330219716508,0.000669780283389982,0,0,NaN,0,0,0.000334890141694991,0.000334890141694991,0.5,0,0.9,0.55064571803373,0
0.28,0.999255813036652,0.000744186963246391,0,0,NaN,0,0,0.000372093481623196,0.000372093481623196,0.5,0,0.9,0.569533065086707,0
0.285,0.999174763941658,0.00082523605824036,0,0,NaN,0,0,0.00041261802912018,0.00041261802912018,0.5,0,0.9,0.588667458867287,0
0.29,0.999086623963757,0.000913376036141142,0,0,NaN,0,0,0.000456688018070571,0.000456688018070571,0.5,0,0.9,0.608044178250118,0
0.295,0.998990924497924,0.00100907550197453,0,0,NaN,0,0,0.000504537750987267,0.000504537750987267,0.5,0,0.9,0.627658442319634,0
0.3,0.998887176437622,0.00111282356227658,0,0,NaN,0,0,0.00055641178113829,0.00055641178113829,0.5,0,0.9,0.647505411549668,0
0.305,0.998774869826812,0.00122513017308642,0,0,NaN,0,0,0.000612565086543212,0.000612565086543212,0.5,0,0.9,0.667580188997541,0
0.31,0.998653473529223,0.00134652647067549,0,0,NaN,0,0,0.000673263235337747,0.000673263235337747,0.5,0,0.9,0.687877821512302,0
0.315,0.998522434915893,0.00147756508400577,0,0,NaN,0,0,0.000738782542002886,0.000738782542002886,0.5,0,0.9,0.708393300956848,0
0.32,0.998381179571992,0.00161882042790613,0,0,NaN,0,0,0.000809410213953067,0.000809410213953067,0.5,0,0.9,0.729121565443607,0
0.325,0.998229111023945,0.00177088897595295,0,0,NaN,0,0,0.000885444487976473,0.000885444487976473,0.5,0,0.9,0.750057500583478,0
0.33,0.998065610487859,0.00193438951203905,0,0,NaN,0,0,0.000967194756019523,0.000967194756019523,0.5,0,0.9,0.77119594074774,0
0.335,0.997890036640284,0.00210996335961419,0,0,NaN,0,0,0.00105498167980709,0.00105498167980709,0.5,0,0.9,0.79253167034258,0
0.34,0.997701725412318,0.00229827458758003,0,0,NaN,0,0,0.00114913729379002,0.00114913729379002,0.5,0,0.9,0.814059425095977,0
0.345,0.997499989808075,0.00250001019182378,0,0,NaN,0,0,0.00125000509591189,0.00125000509591189,0.5,0,0.9,0.83577389335657,0
0.35,0.997284119748521,0.00271588025137671,0,0,NaN,0,0,0.00135794012568835,0.00135794012568835,0.5,0,0.9,0.857669717404237,0
0.355,0.997053381941711,0.0029466180581873,0,0,NaN,0,0,0.00147330902909365,0.00147330902909365,0.5,0,0.9,0.879741494772029,0
0.36,0.996807019780395,0.00319298021950353,0,0,NaN,0,0,0.00159649010975177,0.00159649010975177,0.5,0,0.9,0.901983779579147,0
0.365,0.996544253268034,0.00345574673186468,0,0,NaN,0,0,0.00172787336593234,0.00172787336593234,0.5,0,0.9,0.924391083874634,0
0.37,0.996264278974187,0.00373572102571101,0,0,NaN,0,0,0.0018678605128555,0.0018678605128555,0.5,0,0.9,0.946957878991442,0
0.375,0.99596627002027,0.00403372997962855,0,0,NaN,0,0,0.00201686498981427,0.00201686498981427,0.5,0,0.9,0.96967859691055,0
0.38,0.995649376096641,0.00435062390325709,0,0,NaN,0,0,0.00217531195162854,0.00217531195162854,0.5,0,0.9,0.99254763163479,0
