map,x,y,final_Bell_fidelity,final_concurrence,final_atomic_population,max_norm_error
loading,-0.1,-0.1,0.971509811277477,0.971500111610513,0.971519510944442,2.16840989608613e-11
loading,-0.1,-0.0916666666666667,0.971509811277485,0.97150011161052,0.971519510944449,2.16822115817195e-11
loading,-0.1,-0.0833333333333333,0.971509811277476,0.971500111610512,0.971519510944441,2.16833218047441e-11
loading,-0.1,-0.075,0.971509811277478,0.971500111610514,0.971519510944443,2.16822115817195e-11
loading,-0.1,-0.0666666666666667,0.971509811277478,0.971500111610514,0.971519510944443,2.16837658939539e-11
loading,-0.1,-0.0583333333333333,0.97150981127748,0.971500111610516,0.971519510944445,2.16804352248801e-11
loading,-0.1,-0.05,0.971509811277478,0.971500111610514,0.971519510944443,2.16833218047441e-11
loading,-0.1,-0.0416666666666667,0.971509811277482,0.971500111610517,0.971519510944446,2.16838769162564e-11
loading,-0.1,-0.0333333333333333,0.971509811277474,0.97150011161051,0.971519510944439,2.16819895371145e-11
loading,-0.1,-0.025,0.97150981127748,0.971500111610515,0.971519510944444,2.16824336263244e-11
loading,-0.1,-0.0166666666666667,0.971509811277473,0.971500111610509,0.971519510944438,2.16847650946761e-11
loading,-0.1,-0.00833333333333333,0.971509811277479,0.971500111610515,0.971519510944444,2.16815454479047e-11
loading,-0.1,0,0.971509811277481,0.971500111610516,0.971519510944446,2.16829887378367e-11
loading,-0.1,0.00833333333333333,0.971509811277477,0.971500111610513,0.971519510944442,2.1683543849349e-11
loading,-0.1,0.0166666666666667,0.971509811277475,0.971500111610511,0.97151951094444,2.16830997601392e-11
loading,-0.1,0.025,0.971509811277481,0.971500111610516,0.971519510944445,2.16814344256022e-11
loading,-0.1,0.0333333333333333,0.971509811277474,0.971500111610509,0.971519510944439,2.16829887378367e-11
loading,-0.1,0.0416666666666667,0.971509811277482,0.971500111610517,0.971519510944447,2.16833218047441e-11
loading,-0.1,0.05,0.971509811277478,0.971500111610514,0.971519510944443,2.16830997601392e-11
loading,-0.1,0.0583333333333333,0.971509811277478,0.971500111610513,0.971519510944443,2.16836548716515e-11
loading,-0.1,0.0666666666666667,0.971509811277479,0.971500111610514,0.971519510944443,2.16826556709293e-11
loading,-0.1,0.075,0.971509811277479,0.971500111610514,0.971519510944443,2.16826556709293e-11
loading,-0.1,0.0833333333333333,0.971509811277475,0.971500111610511,0.97151951094444,2.16837658939539e-11
loading,-0.1,0.0916666666666667,0.971509811277483,0.971500111610519,0.971519510944448,2.16834328270465e-11
loading,-0.1,0.1,0.971509811277479,0.971500111610514,0.971519510944444,2.16828777155342e-11
loading,-0.0916666666666667,-0.1,0.975375432151206,0.975365693889409,0.975385170413003,2.16768825112013e-11
loading,-0.0916666666666667,-0.0916666666666667,0.975375432151197,0.9753656938894,0.975385170412994,2.16785478457382e-11
loading,-0.0916666666666667,-0.0833333333333333,0.9753754321512,0.975365693889403,0.975385170412998,2.16787698903431e-11
loading,-0.0916666666666667,-0.075,0.975375432151203,0.975365693889406,0.975385170413,2.16756612658742e-11
loading,-0.0916666666666667,-0.0666666666666667,0.975375432151201,0.975365693889404,0.975385170412998,2.16779927342259e-11
loading,-0.0916666666666667,-0.0583333333333333,0.975375432151201,0.975365693889403,0.975385170412998,2.16766604665963e-11
loading,-0.0916666666666667,-0.05,0.975375432151201,0.975365693889404,0.975385170412998,2.16763273996889e-11
loading,-0.0916666666666667,-0.0416666666666667,0.975375432151198,0.975365693889401,0.975385170412996,2.16799911356702e-11
loading,-0.0916666666666667,-0.0333333333333333,0.9753754321512,0.975365693889403,0.975385170412997,2.16769935335037e-11
loading,-0.0916666666666667,-0.025,0.975375432151197,0.9753656938894,0.975385170412994,2.16782147788308e-11
loading,-0.0916666666666667,-0.0166666666666667,0.975375432151203,0.975365693889405,0.975385170413,2.16757722881766e-11
loading,-0.0916666666666667,-0.00833333333333333,0.975375432151202,0.975365693889405,0.975385170412999,2.16781037565283e-11
loading,-0.0916666666666667,0,0.9753754321512,0.975365693889403,0.975385170412997,2.16771045558062e-11
loading,-0.0916666666666667,0.00833333333333333,0.975375432151201,0.975365693889404,0.975385170412998,2.1678991934948e-11
loading,-0.0916666666666667,0.0166666666666667,0.9753754321512,0.975365693889403,0.975385170412997,2.16776596673185e-11
loading,-0.0916666666666667,0.025,0.975375432151195,0.975365693889398,0.975385170412993,2.1680657269485e-11
loading,-0.0916666666666667,0.0333333333333333,0.975375432151196,0.975365693889399,0.975385170412994,2.16808793140899e-11
loading,-0.0916666666666667,0.0416666666666667,0.975375432151197,0.9753656938894,0.975385170412995,2.16803242025776e-11
loading,-0.0916666666666667,0.05,0.975375432151198,0.975365693889401,0.975385170412996,2.16791029572505e-11
loading,-0.0916666666666667,0.0583333333333333,0.975375432151198,0.975365693889401,0.975385170412996,2.16786588680407e-11
loading,-0.0916666666666667,0.0666666666666667,0.975375432151201,0.975365693889404,0.975385170412999,2.16781037565283e-11
loading,-0.0916666666666667,0.075,0.9753754321512,0.975365693889402,0.975385170412997,2.16778817119234e-11
loading,-0.0916666666666667,0.0833333333333333,0.975375432151202,0.975365693889405,0.975385170412999,2.16778817119234e-11
loading,-0.0916666666666667,0.0916666666666667,0.975375432151196,0.975365693889399,0.975385170412994,2.16791029572505e-11
loading,-0.0916666666666667,0.1,0.97537543215131,0.975365693889513,0.975385170413107,2.16798801133677e-11
loading,-0.0833333333333333,-0.1,0.978913842491744,0.978904068902025,0.978923616081462,2.16734408198249e-11
loading,-0.0833333333333333,-0.0916666666666667,0.978913842491739,0.97890406890202,0.978923616081457,2.16759943327816e-11
loading,-0.0833333333333333,-0.0833333333333333,0.978913842491748,0.978904068902029,0.978923616081466,2.16743289982446e-11
loading,-0.0833333333333333,-0.075,0.978913842491746,0.978904068902027,0.978923616081465,2.16752171766643e-11
loading,-0.0833333333333333,-0.0666666666666667,0.978913842491744,0.978904068902025,0.978923616081463,2.16748841097569e-11
loading,-0.0833333333333333,-0.0583333333333333,0.978913842491744,0.978904068902025,0.978923616081462,2.16769935335037e-11
loading,-0.0833333333333333,-0.05,0.978913842491741,0.978904068902023,0.97892361608146,2.16756612658742e-11
loading,-0.0833333333333333,-0.0416666666666667,0.978913842491744,0.978904068902025,0.978923616081462,2.16771045558062e-11
loading,-0.0833333333333333,-0.0333333333333333,0.978913842491743,0.978904068902024,0.978923616081461,2.16737738867323e-11
loading,-0.0833333333333333,-0.025,0.978913842491744,0.978904068902025,0.978923616081462,2.16751061543619e-11
loading,-0.0833333333333333,-0.0166666666666667,0.978913842491742,0.978904068902023,0.97892361608146,2.16752171766643e-11
loading,-0.0833333333333333,-0.00833333333333333,0.978913842491739,0.978904068902021,0.978923616081458,2.16753281989668e-11
loading,-0.0833333333333333,0,0.978913842491747,0.978904068902028,0.978923616081465,2.16748841097569e-11
loading,-0.0833333333333333,0.00833333333333333,0.978913842491739,0.978904068902021,0.978923616081458,2.16755502435717e-11
loading,-0.0833333333333333,0.0166666666666667,0.978913842491741,0.978904068902023,0.97892361608146,2.16755502435717e-11
loading,-0.0833333333333333,0.025,0.978913842491742,0.978904068902024,0.978923616081461,2.1676105355084e-11
loading,-0.0833333333333333,0.0333333333333333,0.978913842491742,0.978904068902023,0.978923616081461,2.16738849090348e-11
loading,-0.0833333333333333,0.0416666666666667,0.978913842491747,0.978904068902028,0.978923616081465,2.16739959313372e-11
loading,-0.0833333333333333,0.05,0.978913842491743,0.978904068902024,0.978923616081461,2.16739959313372e-11
loading,-0.0833333333333333,0.0583333333333333,0.978913842491746,0.978904068902027,0.978923616081465,2.16744400205471e-11
loading,-0.0833333333333333,0.0666666666666667,0.978913842491743,0.978904068902024,0.978923616081461,2.16766604665963e-11
loading,-0.0833333333333333,0.075,0.978913842491748,0.978904068902029,0.978923616081466,2.16734408198249e-11
loading,-0.0833333333333333,0.0833333333333333,0.978913842491749,0.97890406890203,0.978923616081467,2.16739959313372e-11
loading,-0.0833333333333333,0.0916666666666667,0.97891384249174,0.978904068902022,0.978923616081459,2.16743289982446e-11
loading,-0.0833333333333333,0.1,0.978913842491744,0.978904068902025,0.978923616081462,2.16735518421274e-11
loading,-0.075,-0.1,0.982122617184972,0.982112811558458,0.982132422811486,2.16680007270043e-11
loading,-0.075,-0.0916666666666667,0.982122617184966,0.982112811558451,0.98213242281148,2.16711093514732e-11
loading,-0.075,-0.0833333333333333,0.982122617184963,0.982112811558449,0.982132422811478,2.16721085521954e-11
loading,-0.075,-0.075,0.98212261718497,0.982112811558455,0.982132422811484,2.16691109500289e-11
loading,-0.075,-0.0666666666666667,0.982122617184967,0.982112811558453,0.982132422811481,2.16682227716092e-11
loading,-0.075,-0.0583333333333333,0.982122617184971,0.982112811558456,0.982132422811485,2.16692219723313e-11
