n2,g_over_xi,Z,vacuum_state_infidelity
6,0.01,0.999959501640183,4.04983598167874e-05
6,0.0109660822712436,0.999951299112938,4.87008870622141e-05
6,0.0120254960379684,0.999941435345261,5.85646547391905e-05
6,0.0131872578904875,0.999929573933059,7.04260669415202e-05
6,0.0144612554959192,0.999915310369181,8.46896308194234e-05
6,0.0158583317513724,0.999898158264991,0.000101841735009267
6,0.0173903770670225,0.999877532788169,0.00012246721183129
6,0.0190704305644917,0.999852730756049,0.000147269243951365
6,0.0209127910518255,0.999822906711609,0.000177093288391328
6,0.0229331387195645,0.999787044174973,0.000212955825027117
6,0.0251486685936587,0.999743921102725,0.000256078897275303
6,0.0275782368810302,0.999692068395547,0.000307931604453526
6,0.0302425214533222,0.999629720065955,0.000370279934045148
6,0.0331641978346981,0.999554753405539,0.00044524659446088
6,0.0363681321915099,0.999464617167484,0.000535382832516751
6,0.0398815929663561,0.999356245396645,0.000643754603355862
6,0.0437344829577311,0.999225954086373,0.000774045913627286
6,0.0479595938204781,0.999069317308186,0.000930682691813955
6,0.052592885153079,0.998881018836178,0.00111898116382203
6,0.0576737905470731,0.998654674561713,0.00134532543828758
6,0.0632455532033676,0.998382620155348,0.00161737984465193
6,0.0693555939718444,0.99805565747455,0.00194434252545062
6,0.0760559149466214,0.997662752134904,0.00233724786509693
6,0.0834035420519356,0.997190673465277,0.00280932653472377
6,0.0914610103854653,0.996623566773699,0.0033764332263011
6,0.100296896449808,0.995942446502876,0.00405755349712467
6,0.1099864018019,0.995124597527707,0.00487540247229268
6,0.120611993087769,0.994142870667297,0.00585712933270399
6,0.132264103909914,0.992964857647605,0.00703514235239533
6,0.145041904500843,0.991551930557248,0.00844806944275245
6,0.15905414575341,0.989858131728291,0.0101418682717096
6,0.174420084791427,0.987828902578594,0.012171097421406
6,0.191270499958007,0.985399645156916,0.0146003548430842
6,0.209748803860141,0.98249411914115,0.0175058808588502
6,0.230012263942524,0.97902269144342,0.0209773085565808
6,0.252233340978872,0.974880477390042,0.0251195226099583
6,0.276601156872496,0.969945444096072,0.0300545559039284
6,0.303323104258495,0.964076590837838,0.0359234091621621
6,0.332626611606766,0.957112380542177,0.0428876194578232
6,0.364761078848479,0.948869672736026,0.0511303272639746
6,0.4,0.939143501126972,0.0608564988730282
10,0.01,0.999928534519445,7.14654805553661e-05
10,0.0109660822712436,0.999914060458674,8.59395413266295e-05
10,0.0120254960379684,0.999896655237552,0.000103344762447666
10,0.0131872578904875,0.999875725398235,0.000124274601765673
10,0.0144612554959192,0.999850557388621,0.000149442611379835
10,0.0158583317513724,0.999820293286535,0.000179706713465233
10,0.0173903770670225,0.999783901628801,0.000216098371199291
10,0.0190704305644917,0.999740142363468,0.000259857636532024
10,0.0209127910518255,0.999687524748987,0.000312475251013522
10,0.0229331387195645,0.999624256792139,0.000375743207861712
10,0.0251486685936587,0.999548184540412,0.000451815459587834
10,0.0275782368810302,0.999456719216448,0.000543280783552702
10,0.0302425214533222,0.999346749793495,0.000653250206504863
10,0.0331641978346981,0.99921453815182,0.000785461848180069
10,0.0363681321915099,0.999055593416026,0.000944406583973989
10,0.0398815929663561,0.998864521441381,0.00113547855861929
10,0.0437344829577311,0.998634844682284,0.00136515531771608
10,0.0479595938204781,0.998358786828152,0.00164121317184784
10,0.052592885153079,0.998027015623879,0.00197298437612137
10,0.0576737905470731,0.99762833620157,0.00237166379843023
10,0.0632455532033676,0.997149326044367,0.00285067395563321
10,0.0693555939718444,0.996573901403298,0.00342609859670262
10,0.0760559149466214,0.995882803638611,0.00411719636138952
10,0.0834035420519356,0.995052992636823,0.0049470073631771
10,0.0914610103854653,0.994056933293741,0.00594306670625988
10,0.100296896449808,0.992861760255974,0.00713823974402694
10,0.1099864018019,0.991428305987504,0.00857169401249669
10,0.120611993087769,0.989709978227503,0.0102900217724975
10,0.132264103909914,0.987651475680689,0.0123485243193111
10,0.145041904500843,0.985187336239675,0.0148126637603253
10,0.15905414575341,0.982240321412873,0.0177596785871273
10,0.174420084791427,0.978719655544104,0.0212803444558965
10,0.191270499958007,0.974519160912261,0.0254808390877396
10,0.209748803860141,0.969515362346282,0.0304846376537181
10,0.230012263942524,0.963565680286438,0.0364343197135625
10,0.252233340978872,0.956506891834269,0.0434931081657316
10,0.276601156872496,0.948154116927508,0.0518458830724923
10,0.303323104258495,0.938300680805014,0.0616993191949859
10,0.332626611606766,0.926719309588072,0.0732806904119279
10,0.364761078848479,0.913165221213246,0.0868347787867546
10,0.4,0.897381756756757,0.102618243243244
